"代码","名称","行业","板块","每手股数","认购倍数","发行市值","上市价","首日收盘价","中签率"
"00815","中國白銀集團","貴金屬","主板",2000,"8.76","10.69億",1.18,1.39,"60.13"
"02236","惠生工程","石油天然氣","主板",1000,"1.32","113.40億",2.79,2.79,"100.00"
"01829","中國機械工程","建筑","主板",1000,"57.88","222.79億",5.4,6.3,"100.00"
"01339","中國人民保險集團","保險","主板",1000,"17.54","1476.35億",3.48,3.72,"100.00"
"00564","鄭煤機","工業制造","主板",200,"0.20","168.27億",10.38,9.47,"100.00"
"01030","新城發展控股","地產","主板",2000,"0.25","82.19億",1.45,1.47,"100.00"
"01314","翠華控股","餐飲娛樂","主板",2000,"12.70","31.40億",2.27,2.56,"100.00"
"00884","旭輝控股集團","地產","主板",2000,"1.19","80.15億",1.33,1.31,"100.00"
"02223","卡撒天嬌","家電家用","主板",2000,"9.18","3.01億",1.5,1.64,"60.10"
"02196","復星醫藥","醫療保健","主板",500,"2.44","--",11.8,10.84,"100.00"
"01240","青建國際","建筑","主板",2500,"3.76","2.64億",0.88,1.25,"100.00"
"03816","ＫＦＭ金德","工業制造","主板",4000,"2.72","4.08億",0.68,0.69,"100.00"
"06889","DYNAM JAPAN","餐飲娛樂","主板",200,"0.87","104.00億",14,0,"100.00"
"01335","順泰控股","工用支援","主板",2000,"2.80","4.98億",1.2,1.36,"100.00"
"01699","普甜食品","農業產品","主板",4000,"2.03","5.60億",0.7,0.86,"100.00"
"01332","中國透云","工用支援","主板",2000,"5.40","2.29億",1.59,1.42,"100.00"
"01616","星宏傳媒","紡織服飾","主板",2000,"0.45","8.80億",1.1,1.1,"100.00"
"03669","永達汽車","汽車","主板",500,"0.03","97.68億",6.6,6.62,"100.00"
"03948","伊泰煤炭","煤炭","主板",100,"0.07","1399.22億",43,43,"100.00"
"03939","萬國國際礦業","一般金屬","主板",2000,"1.03","11.94億",1.99,2.04,"100.00"
"01237","中科生物","家電家用","主板",2000,"1.03","10.00億",1,1.01,"100.00"
"02068","中鋁國際","建筑","主板",1000,"0.04","104.66億",3.93,3.59,"100.00"
"03666","小南國","餐飲娛樂","主板",2000,"1.15","22.13億",1.5,1.5,"100.00"
"01258","中國有色礦業","一般金屬","主板",1000,"0.05","76.76億",2.2,2.2,"100.00"
"00816","華電福新","公共事業","主板",2000,"0.94","--",1.65,1.73,"100.00"
"03663","協眾國際控股","汽車","主板",4000,"1.17","7.44億",0.93,0.98,"100.00"
"00695","東吳水泥","建筑","主板",2000,"0.88","5.63億",1.1,1.15,"100.00"
"01522","京投交通科技","軟件服務","主板",4000,"15.80","9.54億",1,0.73,"100.00"
"02623","中國中盛資源","一般金屬","主板",2000,"1.30","8.87億",1.23,1.23,"100.00"
"06837","海通證券","券商信托","主板",400,"2.86","1015.98億",10.6,10.6,"100.00"
"01366","江南集團","工業制造","主板",2000,"0.11","43.70億",1.42,1.42,"100.00"
"01613","協同通信","通訊器材","主板",8000,"1.97","3.96億",0.33,0.36,"79.02"
"01322","創達科技控股","工業制造","主板",2000,"0.07","8.20億",1.33,1.4,"100.00"
"01329","首創鉅大","原材料","主板",2000,"0.93","2.20億",1.1,1.53,"100.00"
